Sl No.,Name of the Contesting candidate,Party Affiliation,Votes Secured,Status,District,Municipal
"WARD Name : 1 , Reserved for : BC(W), Total Voters in Municipality Ward : 2705 , Total Vaild Votes : 2014 , Rejected Votes : 34 , NOTA Votes : 7",,,,,Adilabad,Adilabad
1,GOLI KRISHNAVENI,TRS,530,,Adilabad,Adilabad
2,BATTULA MEERA,INC,178,,Adilabad,Adilabad
3,REKHA GANDRATH,BJP,562,Elected,Adilabad,Adilabad
4,SALEHA SHAIK,AIMIM,198,,Adilabad,Adilabad
5,POCHUBAI GAJJAMWAR,IND,28,,Adilabad,Adilabad
6,MUNIGILWAR LAXMIBAI,IND,518,,Adilabad,Adilabad
"WARD Name : 2 , Reserved for : BC(G), Total Voters in Municipality Ward : 2693 , Total Vaild Votes : 2073 , Rejected Votes : 47 , NOTA Votes : 3",,,,,Adilabad,Adilabad
1,MAHENDER GANDRATH,BJP,600,,Adilabad,Adilabad
2,SHAIK NAIMATHULLA,AIMIM,602,,Adilabad,Adilabad
3,SHAIK MOHAMMAD AHMED,INC,94,,Adilabad,Adilabad
4,SANDA NARSINGU,TRS,625,Elected,Adilabad,Adilabad
5,JILANI SHAIK,IND,152,,Adilabad,Adilabad
"WARD Name : 3 , Reserved for : UR(G), Total Voters in Municipality Ward : 2513 , Total Vaild Votes : 1746 , Rejected Votes : 51 , NOTA Votes : 12",,,,,Adilabad,Adilabad
1,GORLA RAMU,BJP,648,,Adilabad,Adilabad
2,SHAIK SAJEED,INC,201,,Adilabad,Adilabad
3,SAI PRANAY CHADALWAR,TRS,897,Elected,Adilabad,Adilabad
"WARD Name : 4 , Reserved for : BC(G), Total Voters in Municipality Ward : 2688 , Total Vaild Votes : 2124 , Rejected Votes : 64 , NOTA Votes : 4",,,,,Adilabad,Adilabad
1,GORLA GANGAIAH,TDP,5,,Adilabad,Adilabad
2,JAKKULA SATYANARAYAN,INC,264,,Adilabad,Adilabad
3,MANCHALA PEDDA MALLAIAH,TRS,713,,Adilabad,Adilabad
4,LOGITI SRINIVAS,BJP,814,Elected,Adilabad,Adilabad
5,SK AKTHAR,IND,305,,Adilabad,Adilabad
6,SHAIK ISMAIL,IND,23,,Adilabad,Adilabad
"WARD Name : 5 , Reserved for : BC(W), Total Voters in Municipality Ward : 2548 , Total Vaild Votes : 1782 , Rejected Votes : 20 , NOTA Votes : 12",,,,,Adilabad,Adilabad
1,JYOTHI DHONI,BJP,494,,Adilabad,Adilabad
2,RAMELLI ROOPA RANI,INC,79,,Adilabad,Adilabad
3,RAMELLY SRILATHA,TRS,967,Elected,Adilabad,Adilabad
4,KOTTURI ROJA,IND,141,,Adilabad,Adilabad
5,P. RADHA,IND,101,,Adilabad,Adilabad
"WARD Name : 6 , Reserved for : BC(W), Total Voters in Municipality Ward : 2615 , Total Vaild Votes : 1822 , Rejected Votes : 42 , NOTA Votes : 4",,,,,Adilabad,Adilabad
1,KARUNA NEMALIKONDA,BJP,695,Elected,Adilabad,Adilabad
2,CHAITANYA. B,INC,160,,Adilabad,Adilabad
3,DONTULA SUJATHA,TRS,519,,Adilabad,Adilabad
4,THAKUR VIJAYA LAXMI,IND,0,,Adilabad,Adilabad
5,NARMADA BURLA,IND,374,,Adilabad,Adilabad
6,PADMA,IND,42,,Adilabad,Adilabad
7,RUKSANA,IND,19,,Adilabad,Adilabad
8,SHABEENA SHAIK,IND,13,,Adilabad,Adilabad
"WARD Name : 7 , Reserved for : SC(W), Total Voters in Municipality Ward : 2368 , Total Vaild Votes : 1574 , Rejected Votes : 28 , NOTA Votes : 0",,,,,Adilabad,Adilabad
1,P. ANJU,TRS,647,Elected,Adilabad,Adilabad
2,KALPANA KAMBLE,INC,71,,Adilabad,Adilabad
3,WAGMARE GANGUBAI,BJP,128,,Adilabad,Adilabad
4,SIRRA ANNAPURNA,CPI,12,,Adilabad,Adilabad
5,KOTTAPALLY RADHABAI,IND,30,,Adilabad,Adilabad
6,NATARI SAROJA,IND,96,,Adilabad,Adilabad
7,BOURE SANGEETHA,IND,135,,Adilabad,Adilabad
8,WAGMARE SUNEETHA,IND,33,,Adilabad,Adilabad
9,SURAM DEVATHA,IND,422,,Adilabad,Adilabad
"WARD Name : 8 , Reserved for : UR(W), Total Voters in Municipality Ward : 2545 , Total Vaild Votes : 1846 , Rejected Votes : 31 , NOTA Votes : 2",,,,,Adilabad,Adilabad
1,DASARI LAXMI,TRS,507,,Adilabad,Adilabad
2,RAMBA BAI ARKA,BJP,140,,Adilabad,Adilabad
3,RESHMA,INC,585,Elected,Adilabad,Adilabad
4,VAIRAGADE KANTHABAI,CPI,3,,Adilabad,Adilabad
5,UJWALA DHULE,IND,78,,Adilabad,Adilabad
6,KASHAVENI CHANDRAKALA,IND,434,,Adilabad,Adilabad
7,DUMMANIWAR SHOBHA,IND,7,,Adilabad,Adilabad
8,PULE ARATHI,IND,92,,Adilabad,Adilabad
"WARD Name : 9 , Reserved for : UR(G), Total Voters in Municipality Ward : 2367 , Total Vaild Votes : 1419 , Rejected Votes : 28 , NOTA Votes : 3",,,,,Adilabad,Adilabad
1,USHKEM RAGHUPATHI,TRS,593,Elected,Adilabad,Adilabad
2,RATHNA KISHOR REDDY MUSKU,INC,205,,Adilabad,Adilabad
3,VENUGOPAL NAMPELLY,BJP,419,,Adilabad,Adilabad
4,KASHAVENI DATTATRI,IND,8,,Adilabad,Adilabad
5,RAJU DUGANE,IND,54,,Adilabad,Adilabad
6,LUTE UTTHAM,IND,140,,Adilabad,Adilabad
"WARD Name : 10 , Reserved for : UR(W), Total Voters in Municipality Ward : 2768 , Total Vaild Votes : 1830 , Rejected Votes : 29 , NOTA Votes : 13",,,,,Adilabad,Adilabad
1,GODAVARI PATIL,INC,50,,Adilabad,Adilabad
2,PYARAM SUMALATHA,TRS,448,,Adilabad,Adilabad
3,MUDUPU NALINI REDDY,CPI,249,,Adilabad,Adilabad
4,SUJATHA TURPUTI,BJP,490,Elected,Adilabad,Adilabad
5,MAVURAPU LAKSHMI,IND,46,,Adilabad,Adilabad
6,RADHA GODURI,IND,174,,Adilabad,Adilabad
7,SYED SOHARABEE,IND,373,,Adilabad,Adilabad
"WARD Name : 11 , Reserved for : UR(G), Total Voters in Municipality Ward : 2221 , Total Vaild Votes : 1424 , Rejected Votes : 25 , NOTA Votes : 2",,,,,Adilabad,Adilabad
1,ETTEDI VENKATA RAMANA REDDY,INC,19,,Adilabad,Adilabad
2,M A QAYYUM,TRS,395,,Adilabad,Adilabad
3,BHEEMSEN REDDY ELETI,BJP,460,,Adilabad,Adilabad
4,MUDUPU PRABHAKAR REDDY,CPI,45,,Adilabad,Adilabad
5,SHAHNAVAZ UR REHMAN,AIMIM,480,Elected,Adilabad,Adilabad
6,NALUMAS SATHYANARAYANA,IND,25,,Adilabad,Adilabad
"WARD Name : 12 , Reserved for : UR(G), Total Voters in Municipality Ward : 2364 , Total Vaild Votes : 1449 , Rejected Votes : 52 , NOTA Votes : 4",,,,,Adilabad,Adilabad
1,ANNREDDY NARAYANA SWAMY,BJP,612,,Adilabad,Adilabad
2,JADAV PAVAN KUMAR,TRS,685,Elected,Adilabad,Adilabad
3,MD. JAVEED KHAN,INC,31,,Adilabad,Adilabad
4,VEMULA NAGARAJU,IND,121,,Adilabad,Adilabad
"WARD Name : 13 , Reserved for : SC(G), Total Voters in Municipality Ward : 2373 , Total Vaild Votes : 1766 , Rejected Votes : 37 , NOTA Votes : 3",,,,,Adilabad,Adilabad
1,THOTA AJAY,BJP,173,,Adilabad,Adilabad
2,DARSHANALA LAXMAN,INC,820,Elected,Adilabad,Adilabad
3,PAREKAR AMOL,TDP,72,,Adilabad,Adilabad
4,VASANTH ANNELA,TRS,583,,Adilabad,Adilabad
5,CHENDRALA RAHUL KUMAR,IND,30,,Adilabad,Adilabad
6,DEVEL RAJA RANADHEER SINHA,IND,65,,Adilabad,Adilabad
7,SARPE PUNDALIK,IND,23,,Adilabad,Adilabad
"WARD Name : 14 , Reserved for : UR(W), Total Voters in Municipality Ward : 2480 , Total Vaild Votes : 1744 , Rejected Votes : 30 , NOTA Votes : 6",,,,,Adilabad,Adilabad
1,BADALA SUJATHA,INC,583,Elected,Adilabad,Adilabad
2,BOSLE VIJAYA LAXMI,BJP,449,,Adilabad,Adilabad
3,VAGMARE RANJANA,TRS,518,,Adilabad,Adilabad
4,ALAGATHAM LAXMI,IND,150,,Adilabad,Adilabad
5,DURGAM SHARADHA,IND,17,,Adilabad,Adilabad
6,NALVALA SUMA,IND,27,,Adilabad,Adilabad
"WARD Name : 15 , Reserved for : SC(W), Total Voters in Municipality Ward : 2795 , Total Vaild Votes : 1951 , Rejected Votes : 48 , NOTA Votes : 4",,,,,Adilabad,Adilabad
1,ANNAPURNA TUMMALA,INC,73,,Adilabad,Adilabad
2,NARWADE KANCHANA,CPM,93,,Adilabad,Adilabad
3,NALLAWAR SANGITHA,TRS,510,,Adilabad,Adilabad
4,RAJANI NEERATI,BJP,211,,Adilabad,Adilabad
5,SANGEETHA VANJARA,AIMIM,795,Elected,Adilabad,Adilabad
6,ALLURI SHANTHA BAI,IND,0,,Adilabad,Adilabad
7,KAMLE PURNIMA,IND,26,,Adilabad,Adilabad
8,KUNTALA LAXMI,IND,12,,Adilabad,Adilabad
9,GAIKWAD SANGAMITHRA,IND,25,,Adilabad,Adilabad
10,G MAHANANADA,IND,66,,Adilabad,Adilabad
11,SAWALE SANGEETHA,IND,140,,Adilabad,Adilabad
"WARD Name : 16 , Reserved for : UR(W), Total Voters in Municipality Ward : 3061 , Total Vaild Votes : 2265 , Rejected Votes : 53 , NOTA Votes : 3",,,,,Adilabad,Adilabad
1,RADHA DANDLA,TRS,453,,Adilabad,Adilabad
2,LAXMI SOORA,BJP,369,,Adilabad,Adilabad
3,SHAHIDA SHAIK SHAIK,AIMIM,1088,Elected,Adilabad,Adilabad
4,SHAIK SAHERA BHANU,INC,81,,Adilabad,Adilabad
5,RUKHIYA BEGUM,IND,83,,Adilabad,Adilabad
6,LAXMI BABARA,IND,191,,Adilabad,Adilabad
"WARD Name : 17 , Reserved for : UR(G), Total Voters in Municipality Ward : 2435 , Total Vaild Votes : 1978 , Rejected Votes : 30 , NOTA Votes : 2",,,,,Adilabad,Adilabad
1,AFSAR HUSSAIN,AIMIM,141,,Adilabad,Adilabad
2,GODANLA PURUSHOTTAM,INC,19,,Adilabad,Adilabad
3,BHEEMANAVENI ASHOK,BJP,406,,Adilabad,Adilabad
4,MOHAMMAD ASHRAF,TRS,633,,Adilabad,Adilabad
5,NAZEER AHMED,IND,779,Elected,Adilabad,Adilabad
"WARD Name : 18 , Reserved for : ST(G), Total Voters in Municipality Ward : 2365 , Total Vaild Votes : 1733 , Rejected Votes : 48 , NOTA Votes : 9",,,,,Adilabad,Adilabad
1,ATRAM CHANDRASHEKHAR,BJP,646,,Adilabad,Adilabad
2,KOVA RAVI,TRS,773,Elected,Adilabad,Adilabad
3,KOVA SHAKUNTHALA,CPM,64,,Adilabad,Adilabad
4,RAHUL MEGAVATH,INC,110,,Adilabad,Adilabad
5,ATHRAM MAHIPAL,IND,4,,Adilabad,Adilabad
6,GEDAM ESHWAR,IND,39,,Adilabad,Adilabad
7,GEDAM KAVITHA,IND,34,,Adilabad,Adilabad
8,MESRAM MARUTHI,IND,57,,Adilabad,Adilabad
9,SOYAM MAHADEV,IND,6,,Adilabad,Adilabad
"WARD Name : 19 , Reserved for : ST(W), Total Voters in Municipality Ward : 2570 , Total Vaild Votes : 1764 , Rejected Votes : 43 , NOTA Votes : 4",,,,,Adilabad,Adilabad
1,KUDIMETHA PUSHPA,INC,85,,Adilabad,Adilabad
2,KAUSALYA MADAVI,BJP,639,,Adilabad,Adilabad
3,MADAVI MANGALA,TRS,778,Elected,Adilabad,Adilabad
4,CHOWHAN NANDA,IND,105,,Adilabad,Adilabad
5,VANDANA GODAM,IND,157,,Adilabad,Adilabad
"WARD Name : 20 , Reserved for : ST(G), Total Voters in Municipality Ward : 2705 , Total Vaild Votes : 1867 , Rejected Votes : 27 , NOTA Votes : 9",,,,,Adilabad,Adilabad
1,GEDAM GOVARDHAN,INC,62,,Adilabad,Adilabad
2,DIVYA RANI,TRS,465,,Adilabad,Adilabad
3,SANJAY GEDAM,BJP,541,Elected,Adilabad,Adilabad
4,ATRAM SANTHOSH,IND,26,,Adilabad,Adilabad
5,GEDAM JANARDHAN,IND,340,,Adilabad,Adilabad
6,GEDAM SHABAN,IND,22,,Adilabad,Adilabad
7,NAVANANDULA SATYANARAYANA,IND,12,,Adilabad,Adilabad
8,MESRAM KRISHNA,IND,378,,Adilabad,Adilabad
9,RAMESH GEDAM,IND,16,,Adilabad,Adilabad
10,SIDAM GANGADHAR,IND,5,,Adilabad,Adilabad
