Sl No.,ZPTC Name,Name of the Contesting Candidate,Party affiliation,Result Status,district
1,Adilabad Rural,Are Rajanna,TRS,Elected,adilabad
2,Bazarhathnoor,Mallepula Narsaiah,INC,Elected,adilabad
3,Bela,Akshitha Pawar,TRS,Elected,adilabad
4,Bheempoor,Kumra Sudakar,TRS,Elected,adilabad
5,Boath,RAJANALA SANDYARANI,TRS,Elected,adilabad
6,Gadiguda,Mesram Gangu Bai,BJP,Elected,adilabad
7,Gudihathnur,Pathangi Brahmanand,BJP,Elected,adilabad
8,Ichoda,Kadam Subhadra Bai,BJP,Elected,adilabad
9,Inderavelly,ARKA PUSHPALATHA,BJP,Elected,adilabad
10,Jainad,ARUNDHATHI TUMMALA,TRS,Elected,adilabad
11,Mavala,Nalla Vanitha,TRS,Elected,adilabad
12,Narnoor,Janardhan Rathod,TRS,Elected,adilabad
13,Neradigonda,JADHAV ANIL KUMAR,TRS,Elected,adilabad
14,Sirikonda,Kumra Chandrakala,BJP,Elected,adilabad
15,Talamadugu,GOKA GANESH REDDY,INC,Elected,adilabad
16,Tamsi,Tatipelly Gangadhar,TRS,Elected,adilabad
17,Utnur,CHARULATHA RATHOD,INC,Elected,adilabad
1,Allapalli,KOMARAM HANUMANTH,TRS,Elected,bhadradri
2,Annapureddipalle,Lalamma Bharata,TRS,Elected,bhadradri
3,Aswapuram,Sulakshana Sudireddy,TRS,Elected,bhadradri
4,Aswaraopeta,CHINNAMASETTI VARALAXMI,TRS,Elected,bhadradri
5,Burgampadu,Srilatha Kamireddy,TRS,Elected,bhadradri
6,Chandrugonda,VENKATAREDDY KONAKANDLA,INC,Elected,bhadradri
7,Cherla,IRPA SANTHA,INC,Elected,bhadradri
8,Chunchupally,Kancharla Chandrashekar rao,TRS,Elected,bhadradri
9,Dammapeta,PAIDI VENKATESWARAO,TRS,Elected,bhadradri
10,Dummugudem,TELLAM SITHAMMA,TRS,Elected,bhadradri
11,Gundala,VAGABOINA RAMAKKA,IND,Elected,bhadradri
